Week Start Date,Agency,Final Incident Type,# of Incidents Calculated,Call to First Pickup,Call to PD Calltaker Handoff,Call to FDNY Pickup,Call to FDNY Job Creation,Call to EMS Pickup,Call to Agency Job Creation,Call to Agency Dispatch,Call to Agency Arrival,Call to First Arrival (Multi-Agency Incidents),Median Pickup,Median Calltaker Handoff,Median FDNY Pickup,Median FDNY Job Creation,Median Ems Pickup,Median Ems Job Creation,Median Dispatch,Median Travel,Median Cumulative First Arrival  (Multi-Agency Incidents),Average Travel,Average Dispatch,Average EMS Processing,Average EMS Pickup,Average Calltaker Processing,Average Pickup,Average FD Pickup,Average FD Processing
12/29/2014,EMS,1. Life Threating Med Emergencies,8881,3.02,60.84,,,68.10,128.32,166.78,529.73,465.19,3,72,,,11.5,42.5,86,329.5,427.75,6.05,1.58,0.87,0.15,0.97,0.05,,
12/29/2014,EMS,2. Non-Life Threatening Med Emergencies,12594,3.03,69.63,,,77.76,125.53,251.21,756.23,676.90,3,80.5,,,11.5,46,95,441,571.5,8.42,2.67,0.66,0.16,1.11,0.05,,
12/29/2014,FDNY,1. Structural Fires,341,3.09,71.82,,,,,84.10,278.87,275.81,3,59,,,,,10,190,267,3.25,0.20,,,1.15,0.05,,
12/29/2014,FDNY,2. Non-Structural Fires,168,3.07,80.86,,,,,95.05,347.00,343.24,3,61.5,,,,,12,235,327,4.20,0.24,,,1.30,0.05,,
12/29/2014,FDNY,3. Medical Emergencies,3054,3.02,154.83,,,66.45,151.56,177.99,433.74,394.54,3,114,,,5,55,8,243,375,4.26,0.39,1.45,0.10,2.53,0.05,,
12/29/2014,FDNY,4. Non-Medical Emergencies,2399,3.07,142.08,,,,,157.77,438.41,412.37,3,73,,,,,11,251,351,4.68,0.26,,,2.32,0.05,,
12/29/2014,NYPD,1. Critical,1176,3.08,108.44,,,,,246.37,446.39,424.58,3,81,,,,,80,155,348.5,3.33,2.30,,,1.76,0.05,,
12/29/2014,NYPD,2. Serious,1998,3.09,119.55,,,,,302.74,603.33,581.04,3,91,,,,,101.5,210,463,5.01,3.05,,,1.94,0.05,,
12/29/2014,NYPD,3. Non-Critical,1016,3.07,152.96,,,,,568.65,1110.84,1084.43,3,126,,,,,154,352,751.5,9.04,6.93,,,2.50,0.05,,
12/29/2014,NYPD (Non-CIP),Alarms,2629,3.14,117.69,,,,,1044.09,2158.81,2158.81,3,98,,,,,308,630,1347,18.58,15.44,,,1.91,0.05,,
12/29/2014,NYPD (Non-CIP),Disorderly Person/Group/Noise,1084,3.06,153.16,,,,,1011.06,1711.01,1706.28,3,132,,,,,256.5,382.5,952,11.67,14.30,,,2.50,0.05,,
12/29/2014,NYPD (Non-CIP),Dispute,5791,3.08,160.87,,,,,1368.33,2501.45,2489.23,3,137,,,,,337,559,1421,18.89,20.12,,,2.63,0.05,,
12/29/2014,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,328,3.13,116.22,,,,,293.89,1764.25,666.67,3,82.5,,,,,81,765.5,363.5,24.51,2.96,,,1.88,0.05,,
12/29/2014,NYPD (Non-CIP),Other Crimes (In Progress),2134,3.10,153.99,,,,,584.87,1082.52,1080.01,3,129,,,,,143.5,313.5,703,8.29,7.18,,,2.51,0.05,,
12/29/2014,NYPD (Non-CIP),Past Crime,3068,2.92,193.83,,,,,1556.01,3231.64,3186.94,3,164,,,,,409.5,837.5,1983.5,27.93,22.70,,,3.18,0.05,,
12/29/2014,NYPD (Non-CIP),Police Officer/Security Holding Suspect,200,3.08,100.08,,,,,557.47,1462.08,1447.90,3,82.5,,,,,125,499,822,15.08,7.62,,,1.62,0.05,,
12/29/2014,NYPD (Non-CIP),Possible Crimes,5507,3.09,150.01,,,,,1115.02,2158.00,2097.88,3,120,,,,,264,531,1179,17.38,16.08,,,2.45,0.05,,
12/29/2014,NYPD (Non-CIP),Vehicle Accident,2452,2.85,162.60,,,,,1444.87,3086.75,3049.70,3,136,,,,,471,1055,2117,27.36,21.37,,,2.66,0.05,,
12/22/2014,EMS,1. Life Threating Med Emergencies,8690,3.23,58.38,,,65.01,120.86,160.14,539.80,473.19,3,68.5,,,12,40.5,85.5,337.5,418.5,6.33,1.54,0.82,0.13,0.92,0.05,,
12/22/2014,EMS,2. Non-Life Threatening Med Emergencies,12565,3.18,68.97,,,77.01,114.88,225.34,752.99,671.81,3,80.5,,,12,44,96.5,457.5,576.5,8.79,2.40,0.54,0.16,1.10,0.05,,
12/22/2014,FDNY,1. Structural Fires,356,3.03,79.18,,,,,93.76,295.14,293.25,3,57,,,,,11,198,277,3.36,0.24,,,1.27,0.05,,
12/22/2014,FDNY,2. Non-Structural Fires,116,3.15,68.71,,,,,84.59,342.81,337.41,3,58,,,,,13,219,304,4.30,0.26,,,1.09,0.05,,
12/22/2014,FDNY,3. Medical Emergencies,2961,3.25,149.37,,,66.51,146.14,171.41,433.29,396.78,3,109,,,5,52,8,244,370,4.36,0.37,1.36,0.10,2.44,0.05,,
12/22/2014,FDNY,4. Non-Medical Emergencies,2339,3.18,149.35,,,,,166.43,445.30,408.39,3,74,,,,,13,253,353,4.65,0.28,,,2.44,0.05,,
12/22/2014,NYPD,1. Critical,1076,3.16,113.33,,,,,262.02,564.64,526.40,3,81,,,,,87,168,377,5.04,2.48,,,1.84,0.05,,
12/22/2014,NYPD,2. Serious,2013,3.22,118.78,,,,,309.20,626.66,593.18,3,90,,,,,107,225,465,5.29,3.17,,,1.93,0.05,,
12/22/2014,NYPD,3. Non-Critical,929,3.22,159.11,,,,,616.77,1186.87,1173.17,3,138,,,,,164,361,789,9.50,7.63,,,2.60,0.05,,
12/22/2014,NYPD (Non-CIP),Alarms,2532,3.21,117.10,,,,,1313.34,2671.02,2669.62,3,99,,,,,378.5,695,1558,22.63,19.94,,,1.90,0.05,,
12/22/2014,NYPD (Non-CIP),Disorderly Person/Group/Noise,1063,3.09,161.26,,,,,1194.79,1997.67,1978.39,3,140,,,,,271,393,1104,13.38,17.23,,,2.64,0.05,,
12/22/2014,NYPD (Non-CIP),Dispute,5451,3.20,165.72,,,,,1588.16,2720.17,2706.12,3,139,,,,,365,535,1458,18.87,23.71,,,2.71,0.05,,
12/22/2014,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,355,3.25,110.48,,,,,256.62,1854.11,723.43,3,86,,,,,68,888,367,26.62,2.44,,,1.79,0.05,,
12/22/2014,NYPD (Non-CIP),Other Crimes (In Progress),2067,3.23,157.53,,,,,584.86,1086.46,1082.27,3,133,,,,,160,310,711,8.36,7.12,,,2.57,0.05,,
12/22/2014,NYPD (Non-CIP),Past Crime,2942,3.03,193.39,,,,,2098.52,3835.79,3769.96,3,163,,,,,541,914,2232,28.95,31.75,,,3.17,0.05,,
12/22/2014,NYPD (Non-CIP),Police Officer/Security Holding Suspect,226,3.58,101.25,,,,,1015.12,2269.07,2267.81,3,79,,,,,286,659.5,1496,20.90,15.23,,,1.63,0.06,,
12/22/2014,NYPD (Non-CIP),Possible Crimes,5207,3.18,152.50,,,,,1415.65,2563.60,2486.96,3,120,,,,,325,550,1298,19.13,21.05,,,2.49,0.05,,
12/22/2014,NYPD (Non-CIP),Vehicle Accident,2805,3.00,165.31,,,,,1997.43,3838.42,3786.81,3,139,,,,,658,1148,2574,30.68,30.54,,,2.71,0.05,,
12/15/2014,EMS,1. Life Threating Med Emergencies,9035,3.06,61.68,,,68.80,122.55,166.04,555.39,486.43,3,71,,,12.5,41.5,88,352.5,442.25,6.49,1.56,0.78,0.14,0.98,0.05,,
12/15/2014,EMS,2. Non-Life Threatening Med Emergencies,12675,3.05,61.17,,,69.99,97.57,276.03,850.86,733.05,3,79.5,,,13,44,100.5,483.25,608.5,9.58,3.34,0.37,0.17,0.97,0.05,,
12/15/2014,FDNY,1. Structural Fires,321,3.02,91.34,,,,,105.10,301.42,286.09,3,61,,,,,10,196,273,3.27,0.23,,,1.47,0.05,,
12/15/2014,FDNY,2. Non-Structural Fires,134,3.28,72.25,,,,,86.34,332.77,324.99,3,55,,,,,10,228.5,314,4.11,0.23,,,1.15,0.05,,
12/15/2014,FDNY,3. Medical Emergencies,3031,3.03,161.32,,,66.63,157.75,188.06,451.34,415.31,3,114,,,5,52,8,248,379,4.39,0.45,1.55,0.09,2.64,0.05,,
12/15/2014,FDNY,4. Non-Medical Emergencies,2463,3.08,142.74,,,,,158.78,441.88,425.83,3,75,,,,,12,255,356,4.72,0.27,,,2.33,0.05,,
12/15/2014,NYPD,1. Critical,1014,3.08,117.84,,,,,243.45,447.68,429.69,3,84,,,,,82,144.5,359.5,3.40,2.09,,,1.91,0.05,,
12/15/2014,NYPD,2. Serious,1925,3.10,121.29,,,,,294.82,605.18,570.04,3,91,,,,,98,210,447,5.17,2.89,,,1.97,0.05,,
12/15/2014,NYPD,3. Non-Critical,1052,3.07,155.33,,,,,466.06,1011.77,1001.50,3,130,,,,,146,350,721,9.10,5.18,,,2.54,0.05,,
12/15/2014,NYPD (Non-CIP),Alarms,2247,3.13,117.41,,,,,912.64,2068.34,2068.34,3,100,,,,,294,633,1232,19.26,13.25,,,1.90,0.05,,
12/15/2014,NYPD (Non-CIP),Disorderly Person/Group/Noise,994,3.13,161.87,,,,,913.38,1756.58,1733.46,3,137,,,,,244,486,1064.5,14.05,12.53,,,2.65,0.05,,
12/15/2014,NYPD (Non-CIP),Dispute,5090,3.11,165.70,,,,,1225.16,2372.03,2365.47,3,139,,,,,299.5,589,1370,19.11,17.66,,,2.71,0.05,,
12/15/2014,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,378,3.00,123.37,,,,,327.36,1617.36,701.47,3,85,,,,,81,836,380,21.50,3.40,,,2.01,0.05,,
12/15/2014,NYPD (Non-CIP),Other Crimes (In Progress),2048,3.10,156.98,,,,,471.24,1032.07,1029.43,3,130,,,,,137,343,726,9.35,5.24,,,2.56,0.05,,
12/15/2014,NYPD (Non-CIP),Past Crime,3177,2.97,193.77,,,,,1549.05,3312.35,3264.16,3,164,,,,,434,1015,2201,29.39,22.59,,,3.18,0.05,,
12/15/2014,NYPD (Non-CIP),Police Officer/Security Holding Suspect,252,3.12,92.87,,,,,595.05,1699.67,1698.52,3,73,,,,,164,524.5,1090.5,18.41,8.37,,,1.50,0.05,,
12/15/2014,NYPD (Non-CIP),Possible Crimes,5337,3.07,156.35,,,,,1154.54,2339.90,2275.23,3,124,,,,,307,636,1318,19.76,16.64,,,2.55,0.05,,
12/15/2014,NYPD (Non-CIP),Vehicle Accident,3339,2.88,163.70,,,,,1458.69,3203.26,3144.71,3,137,,,,,553,1120,2314,29.08,21.58,,,2.68,0.05,,
12/08/2014,EMS,1. Life Threating Med Emergencies,9073,3.00,60.52,,,68.00,126.21,166.10,550.67,481.82,3,72,,,12,43,87.5,352,443.5,6.41,1.57,0.84,0.15,0.96,0.05,,
12/08/2014,EMS,2. Non-Life Threatening Med Emergencies,12730,3.01,66.90,,,75.49,110.65,250.85,804.59,708.59,3,80,,,11.5,46,99,477,602.5,9.23,2.82,0.50,0.17,1.07,0.05,,
12/08/2014,FDNY,1. Structural Fires,330,2.98,70.15,,,,,83.27,287.36,283.33,3,56,,,,,10,199,273,3.40,0.22,,,1.12,0.05,,
12/08/2014,FDNY,2. Non-Structural Fires,125,2.99,68.96,,,,,84.30,332.77,329.09,3,52,,,,,13,237,315,4.14,0.26,,,1.10,0.05,,
12/08/2014,FDNY,3. Medical Emergencies,3050,2.99,152.20,,,67.39,148.92,180.21,447.96,410.32,3,114,,,5,53,7,250,382,4.46,0.47,1.39,0.09,2.49,0.05,,
12/08/2014,FDNY,4. Non-Medical Emergencies,2676,3.04,154.81,,,,,171.98,469.85,443.63,3,77,,,,,12,263,372,4.96,0.29,,,2.53,0.05,,
12/08/2014,NYPD,1. Critical,978,3.10,116.12,,,,,232.31,440.85,427.07,3,85,,,,,79,145,350.5,3.48,1.94,,,1.88,0.05,,
12/08/2014,NYPD,2. Serious,1908,3.03,122.94,,,,,273.50,567.28,545.48,3,93.5,,,,,88,199.5,438,4.90,2.51,,,2.00,0.05,,
12/08/2014,NYPD,3. Non-Critical,1022,3.05,159.92,,,,,465.49,1035.39,1026.46,3,135,,,,,140.5,355.5,727,9.50,5.09,,,2.61,0.05,,
12/08/2014,NYPD (Non-CIP),Alarms,2593,3.10,117.58,,,,,876.37,2075.18,2075.18,3,99,,,,,327,703,1383,19.98,12.65,,,1.91,0.05,,
12/08/2014,NYPD (Non-CIP),Disorderly Person/Group/Noise,985,2.99,158.53,,,,,884.44,1695.48,1692.96,3,136,,,,,233,444,1049,13.52,12.10,,,2.59,0.05,,
12/08/2014,NYPD (Non-CIP),Dispute,4728,3.07,168.51,,,,,1175.43,2353.64,2341.99,3,141,,,,,273.5,640,1412,19.64,16.78,,,2.76,0.05,,
